vendor,display_name,sample_sku,official_website_url,official_website_status,official_website_source,official_website_confidence,search_url_template,search_template_status,search_result_mode,resolver_hint,review_status,review_notes,last_checked_utc
4x4 Posi-Lok,4x4 Posi-Lok,PSL-100,https://4x4posi-lok.com/,confirmed,user_seed + direct_homepage_validation,high,https://4x4posi-lok.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
73dipstick.com,73dipstick.com,73D-110448,https://73dipstick.com/,probable,exact_brand_domain_match (homepage returns 406 to script),high,,unresolved,,,pending,No visible search input found,
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,ADD-AC8101801NA,https://www.addictivedesertdesigns.com/,probable,search_discovery:ddg,high,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},confirmed,search_results,manual_user_seed,pending,,
ADS Shocks,ADS Shocks,ADS-100ADS-10084,https://www.adsshocks.com/,probable,search_discovery:ddg,high,https://www.adsshocks.com/search/?q={sku},confirmed,search_results,manual_user_seed,pending,,
AEM,AEM,AEM-30-3351,https://www.aemintakes.com/,probable,web_search_official_domain; homepage blocks script (403),high,https://www.aemintakes.com/search/{sku},probable,search_results,manual_user_seed,pending,,
AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,AEV-N0340000AB,https://aev-conversions.com/,confirmed,direct_homepage_validation,high,https://aev-conversions.com/search?q={sku},confirmed,search_results,manual_user_seed,pending,,
AFE,AFE,46-71370B,https://afepower.com/,confirmed,direct_homepage_validation,high,https://afepower.com/catalogsearch/result/?q={sku},confirmed,search_results,manual_user_seed,pending,,
AMP Research,AMP Research,AMP-75301-01A,https://ampresearchco.com/about-us/,probable,search_discovery:ddg,high,https://ampresearchco.com/?s={sku},confirmed,search_results,manual_user_seed,pending,.com tld; 3 full vendor match(es) in domain; 2 vendor token hit(s); vendor key present in result text; official/manufacturer phrase; deep path candidate,
ARB,ARB,ARB-AR09,https://arbusa.com/,confirmed,direct_homepage_validation,high,https://store.arbusa.com/search-results-page?q={sku},confirmed,search_results,manual_user_seed,pending,,
ARP Bolts,ARP Bolts,ARP-230-4201,https://arp-bolts.com/,probable,web_search_official_domain; homepage blocks script (403),high,https://arp-bolts.com/,custom,custom_search,manual_user_seed,pending,,
ATI Performance Products,ATI Performance Products,ATI-917365,https://www.atiracing.com/,confirmed,direct_homepage_validation,high,https://atiracing.com/search-results.htm?cx=017413898382317320130:lggw7qy_yqk&cof=FORID:11&q={sku},probable,custom_search,manual_user_seed + html_form_detection,pending,,
ATS Diesel Performance,ATS Diesel Performance,ATS-1039093278,https://atsdiesel.com/,confirmed,direct_homepage_validation,medium,https://atsdiesel.com/search?q={sku},confirmed,search_results,manual_user_seed,pending,,
AccuAir Suspension,AccuAir Suspension,AA-3837,https://accuair.com/,confirmed,direct_homepage_validation,high,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,playwright_search_submit,pending,,
Accutrim,Accutrim,AF-928,https://www.accu-trim.com/,confirmed,direct_homepage_validation,medium,https://accu-trim.com/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,ADAMS-RAM-1350F-5GEN,https://www.adamsdriveshaftoffroad.com/,confirmed,direct_homepage_validation,high,https://www.adamsdriveshaftoffroad.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Aeroturbine,Aeroturbine,AERO-AR20,https://www.aeroturbineparts.com/about/,probable,search_discovery:ddg,high,https://aeroexhaust.com/search.html?q={sku},confirmed,search_results,manual_user_seed_cross_domain,pending,Confirmed manual search route on vendor domain: https://aeroexhaust.com/search.html?q={sku}.,
Air Lift Company,Air Lift Company,AL-57399,https://www.airliftcompany.com/,confirmed,direct_homepage_validation,high,https://airliftcompany.com/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,PFT-WS100,https://airdogdiesel.com/,confirmed,direct_homepage_validation,medium,https://airdogdiesel.com/?s={sku},confirmed,search_results,manual_wordpress_search_validation,pending,Validated WordPress search route; alternate /search/{sku} route also appears in og:url.,
Airaid,Airaid,AIR-300-128,https://www.airaid.com/,probable,web_search_official_domain; homepage blocks script (403),high,https://www.airaid.com/search/{sku},confirmed,search_results,manual_user_seed,pending,Path-style search URL confirmed manually from site search UI. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
Alliant Power,Alliant Power,AP-AP0015,https://alliantpower.com/,confirmed,direct_homepage_validation,high,https://alliantpower.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Alpharex,Alpharex Performance Lighting,ARX-810003,https://alpharexusa.com/,probable,search_discovery:ddg,high,https://alpharexusa.com/search?type=product&options%5Bunavailable_products%5D=last&options%5Bprefix%5D=last&q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Bot challenge page,
American Axle & Manufacturing (AAM),American Axle & Manufacturing (AAM),AAM-DS U-926,https://www.aam.com/,probable,search_discovery:ddg,medium,,unresolved,,,pending,No visible search input found,
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,AR-AR1726882,https://www.atxwheels.com/,probable,search_discovery:ddg,high,https://www.atxwheels.com/catalogsearch/result/?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Anvil Off-Road,Anvil Off-Road,AOR-2791AOR,https://www.anviloffroad.ca/,probable,search_discovery:ddg,high,https://www.holley.com/search/?q={sku},confirmed,search_results,manual_parent_brand_holley_search,pending,Anvil Off-Road uses Holley search. Confirmed manual search route: https://www.holley.com/search/?q={sku}.,
Apex Chassis,Apex Chassis,APX-BJ162,https://apexchassis.com/,probable,search_discovery:ddg,high,https://apexchassis.com/search?q={sku}&search=,confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Apex Designs,Apex Designs,APXD-X02-02-002,https://apexdesignsllc.com/,probable,search_discovery:ddg,high,https://apexdesignsllc.com/?s={sku},probed,search_results,common_template_probe,pending,,
Artec Industries,Artec Industries,ARTEC-TR1101,https://artecindustries.com/,probable,search_discovery:ddg,high,https://artecindustries.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Auto Meter,Auto Meter,AM-8586,https://www.autometer.com/,probable,exact_brand_domain_match; homepage blocks script (403),high,https://www.autometer.com/catalogsearch/result?q={sku},confirmed,search_results,manual_user_seed,pending,"Manual note: appending SKU lands on a 0-results page, waits a few seconds, then refreshes into the product page. Existing note: search-template fetch error: HTTP Error 403: Forbidden",
AutoEnginuity,AutoEnginuity,Auto-EI02,https://www.autoenginuity.com/,probable,search_discovery:ddg,high,https://www.autoenginuity.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Axiom Supply,Axiom Supply,AXS-AXTL03,https://axiomsupply.com/,probable,search_discovery:ddg,high,https://axiomsupply.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
