brand_name,brand_handle,brand_gid,metaobject_type,aliases,updated_at,fields_json
4x4 Posi-Lok,4x4posilogo,gid://shopify/Metaobject/228489494893,brand,,2026-02-11T17:47:48Z,"{""brand_name"": ""4x4 Posi-Lok"", ""description"": ""<p>4x4 Posi-Lok puts the driver in control of the 4-wheel drive engagement. No more pushing a button and hoping your 4-wheel drive engages. 4x4 Posi-Lok provides quaility parts that solve a common issue when it comes to 4wd engagement. Ensure your 4x4 system never leaves you stranded with the 4x4 Posi-Lok.</p><p></p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_4x4posilogo.jpg?v=1748898244"", ""image_file"": ""gid://shopify/MediaImage/53058179596653"", ""collection"": ""gid://shopify/Collection/623882568045""}"
73dipstick.com,73dipstick,gid://shopify/Metaobject/228487790957,brand,,2026-02-11T17:48:19Z,"{""brand_name"": ""73dipstick.com"", ""description"": ""<p>A permanent external oil leak repair kit for 7.3L Powerstroke engines that you can install with basic hand tools in just an hour or two, saving you a substantial amount of time and money, with a repair you can easiliy do yourself.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_73dipstick.jpg?v=1748898244"", ""image_file"": ""gid://shopify/MediaImage/53058182250861"", ""collection"": ""gid://shopify/Collection/623882436973""}"
ADDICTIVE DESERT DESIGNS,addictivedesertdesigns,gid://shopify/Metaobject/228481499501,brand,,2025-07-21T15:46:43Z,"{""brand_name"": ""ADDICTIVE DESERT DESIGNS"", ""description"": ""Addictive Desert Designs is committed to pioneering innovation in the truck parts industry. Their pursuit is to be at the forefront, introducing cutting-edge solutions for your truck. Setting the standard for unparalleled fitment and uncompromising quality, they go beyond the ordinary to redefine what exceptional bumpers mean.<br><br>What sets Addictive Desert Designs&nbsp;apart is their dedication to an entirely in-house bumper crafting process. From the inception of an idea to the final product, every stage takes place right here in America. They believe in more than just assembling bumpers; they believe in crafting experiences. While bumper building might seem straightforward, they elevate it to an art form by integrating state-of-the-art technologies.<br>Their commitment to excellence is evident in every weld, curve, and finish. By blending traditional craftsmanship with modern techniques, they ensure that each bumper not only meets but exceeds the highest standards.<br>At Addictive Desert Designs, they understand that your truck isn't just a vehicle; it's an expression of your lifestyle. That's why their team of skilled artisans and engineers works tirelessly to create bumpers that not only fit seamlessly but also enhance the overall aesthetics of your truck.<br>Choose Addictive Desert Designs&nbsp;for more than just a bumper  choose a symbol of quality, innovation, and American craftsmanship. Drive with confidence, knowing that your truck is equipped with a bumper that reflects our unwavering commitment to excellence."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_addictivedesertdesigns.png?v=1752770223"", ""image_file"": ""gid://shopify/MediaImage/52039377912173"", ""collection"": ""gid://shopify/Collection/623884730733""}"
ADS Shocks,ads,gid://shopify/Metaobject/228481532269,brand,,2025-07-21T15:45:53Z,"{""brand_name"": ""ADS Shocks"", ""description"": ""<p>ADS Shocks specialize in providing top-of-the-line shock absorbers and suspension components engineered to deliver unparalleled comfort, control, and durability for a wide range of vehicles. With a rich heritage spanning several decades, ADS Shocks has solidified its reputation as a trusted industry leader in suspension technology. Their commitment to innovation, quality, and customer satisfaction is evident in every product they offer.</p>\n<p>What sets ADS Shocks Direct Fit apart is their dedication to precision engineering and meticulous attention to detail. Each suspension solution is meticulously designed and rigorously tested to ensure optimal performance and reliability in any driving conditions. Whether you're navigating rugged off-road terrain or cruising down city streets, their shocks are engineered to deliver superior handling and stability, providing you with the confidence to tackle any adventure.</p>\n<p>At ADS Shocks Direct Fit, they understand that every vehicle is unique, which is why they offer a diverse range of suspension solutions to suit various makes and models. From adjustable coilovers to monotube shocks, ADS Shocks have the perfect solution to enhance your vehicle's performance and ride quality.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_ads.png?v=1752770258"", ""image_file"": ""gid://shopify/MediaImage/52039379550573"", ""collection"": ""gid://shopify/Collection/623884861805""}"
AEM,aem,gid://shopify/Metaobject/228488544621,brand,,2025-07-15T21:55:37Z,"{""brand_name"": ""AEM"", ""description"": ""AEM has some of the most innovative cold air intakes and filters on the market for the diesel performance enthusiast. From stock replacement air filters to their Brute Force HD line, thier product line is certainly worth your consideration. The Revolutionary DRYFLOW Synthetic Performance Air Filter—Better Filtration &amp; Dust Trapping, No More Oiling! We carry their complete product line."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_aem.png?v=1748897591"", ""image_file"": ""gid://shopify/MediaImage/51870247551341"", ""collection"": ""gid://shopify/Collection/623877095789""}"
AEV | American Expedition Vehicles,aev,gid://shopify/Metaobject/228485300589,brand,,2026-02-11T17:50:17Z,"{""brand_name"": ""AEV | American Expedition Vehicles"", ""description"": ""<img src=\""graphics/00000001/aev-dealer-png-no-bg.png\"" style=\""float: left;\"">\n<p>American Expedition Vehicles (AEV), based out of Missoula, Montana, has been building custom vehicles designed to tackle the rigors of off-roading, overlanding, and general day to day commuting since 1997. AEV originally gained a substantial amount of publicity with their line of stretched Jeeps that dds a pickup-style bed behind the cab area, creating a highly functional and visually appealing work of art. This unique upgrade melded with additional suspension and powertrain upgrades from AEV has created a vehicle that many would argue should have been available from the factory.</p>\n<p>With the Jeep market cornered, American Expedition Vehicles unveiled its lineup for the Ram Heavy Duty market in 2014, dubbing this new application the Prospector. The Prospector has taken the same approach that AEV has always taken, to produce products that serve a functional purpose and design and build these products to a standard that exceed even OEM (Original Equipment Manufacturing) standards. With the original unveiling of the Prospector at the SEMA Show in 2014, AEV has gained and continued to build on the notoriety they have had for years in the Jeep market, but now within the Ram HD community. While its true there are numerous other companies producing wheels, bumpers, and suspension systems for this application, you would be hard pressed to find another company that does it with the amount of finesse as AEV. And even more difficult, a company that has built all of their components to work in harmony with one another, but work just as well when used as individual components.</p>\n<p>We at Diesel Power Products are extremely proud to have the opportunity to be labeled as an Authorized Dealer of AEV products because we know that without a doubt, we can confidently recommend their products because they truly perform as advertised, and fit like they came from the factory. Does the fact that they have a manufacturing headquarters in Detroit, Michigan just down the road from the automakers have anything to do with that? Probably, but we'll let the product speak for itself.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_AEV.jpg?v=1748897591"", ""image_file"": ""gid://shopify/MediaImage/53058200076653"", ""collection"": ""gid://shopify/Collection/623875883373""}"
AFE,afe,gid://shopify/Metaobject/228484776301,brand,,2025-07-30T17:07:52Z,"{""brand_name"": ""AFE"", ""description"": ""<b>AFE POWER PERFORMANCE PARTS AND ACCESSORIES</b>\n<p>Since its founding in 1999, <b>AFE</b> Power (Advanced Flow Engineering) has been a leader in diesel performance. Built to improve airflow, fuel efficiency, and overall vehicle power, AFE Power products are engineered to handle the demands of diesel enthusiasts and professionals alike.</p>\n<p>From <b>AFE cold air intakes</b> to high-performance exhausts, AFE Power offers a complete lineup of parts to boost your truck’s performance. Whether you’re running a Cummins, Powerstroke, or Duramax engine, Diesel Power Products has a full range of <b>AFE Power parts</b> to maximize your vehicle’s potential.</p>\n<b>AFE COLD AIR INTAKE SYSTEMS FOR MAXIMUM AIRFLOW</b>\n<p>One of AFE Power’s best-known products is the <b>AFE cold air intake</b> system, designed to increase airflow and improve combustion efficiency. With options for both open and closed systems, AFE cold air intakes are built to optimize horsepower and throttle response. For those aiming to push their trucks to the limit, these intakes provide the airflow needed for consistent, powerful performance.</p>\n<b>AFE FILTERS FOR DIESEL ENGINES</b>\n<p><b>AFE filters</b> are made with various filter media to suit different driving environments. Choose from the Pro 5R, Pro 10R, Pro-GUARD 7, and Pro DRY S filters to achieve the right balance of airflow and filtration. Engineered with multiple layers of protection, AFE filters capture finer debris while maintaining excellent airflow, extending your engine's life and efficiency.</p>\n<b>AFE POWER EXHAUST SYSTEMS FOR ENHANCED PERFORMANCE</b>\n<p>Upgrading to an <b>AFE Power exhaust system</b> reduces backpressure and increases exhaust flow, allowing for improved performance and fuel efficiency. Built with premium materials, these exhausts provide a deeper sound without compromising factory emissions. AFE Power’s exhaust options help you achieve a cleaner, more efficient burn while adding an aggressive tone to your truck’s performance.</p>\n<b>ABOUT ADVANCED FLOW ENGINEERING (AFE)</b>\n<p>Headquartered in Corona, California, <b>Advanced Flow Engineering (AFE)</b> is known for its high-tech, in-house manufacturing and testing facilities, which include capabilities like CNC machining, CAD design, dyno testing, and more. With a commitment to quality and innovation, AFE Power continues to push the boundaries in diesel performance parts, delivering products that meet the needs of today’s diesel enthusiasts.</p>\n<b>SHOP AFE PARTS AT DIESEL POWER PRODUCTS</b>\n<p>Diesel Power Products is proud to offer a comprehensive selection of <b>AFE parts</b> for diesel trucks. From cold air intakes and filters to exhaust systems and tuners, we carry everything you need to upgrade your diesel truck with high-performance AFE Power products. Our experts are here to help you find the right parts for your specific needs.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_afepower.png?v=1752771035"", ""image_file"": ""gid://shopify/MediaImage/52039416545645"", ""collection"": ""gid://shopify/Collection/624964403565""}"
AMP Research,ampresearch,gid://shopify/Metaobject/228483367277,brand,,2025-07-21T15:41:52Z,"{""brand_name"": ""AMP Research"", ""description"": ""<p>One could say that AMP Research has nearly cornered the market on running boards nowadays with their functional solution to getting in and out of your rig easily. Part common sense, part mechanical marvel, an AMP Research invention tends to be one of those ˜why didnt I think of that? ideas that seem like total no-brainers. In fact, its the simple solution to complex problems that have eluded Mankind throughout history, and are the hardest answers to think up. Finding the simple, functional solution to a complex design challenge is the goal of every AMP Research innovation. As Albert Einstein said, œEverything should be made as simple as possible, but not simpler.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_ampresearch_8ac5516a-27e6-4c14-899c-2a5756641a45.png?v=1752771160"", ""image_file"": ""gid://shopify/MediaImage/52039420477805"", ""collection"": ""gid://shopify/Collection/623875817837""}"
ARB,arb,gid://shopify/Metaobject/228489658733,brand,,2025-11-18T17:05:59Z,"{""brand_name"": ""ARB"", ""description"": ""ARB started its roots in the crude back country of Australia in 1975 by Tony Brown as a company tailored at properly equipping a vehicle for the rough terrain prevalent through Australia. Over the last thirty plus years, they have become the controlling mechanism that drives the market for what to expect in strong, capable off-road components that are developed using the latest in CAD modeling and CNC fabrication for a precise fit every time. ARB Bolts is Australia's largest manufacturer and distributor of 4x4 accessories, while also having an office located within the United States, and an extensive export network that spans 80 countries. Through all of the changes and growth that ARB continually undergoes, they still maintain one business model - quality, reliability, and practicality are placed on a pedestal above all else."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_arb_ff8cfdec-52f3-46c8-b6fc-eeab9a3023d0.png?v=1752771225"", ""image_file"": ""gid://shopify/MediaImage/52039421821293"", ""collection"": ""gid://shopify/Collection/623876637037""}"
ARP Bolts,arp,gid://shopify/Metaobject/228486545773,brand,,2026-02-11T17:53:28Z,"{""brand_name"": ""ARP Bolts"", ""description"": ""<p>More and more Diesel Power Products customers are running large single turbos or compound turbo set-ups. Many of these turbos are capable of upwards of 50PSI of boost pressure with the right fueling. At these pressures the stock head bolts on our light duty diesel trucks are prone to stretching which can lead to head gasket failure. Head to block sealing is critical and that's where ARP Diesel Head Studs come in. </p>\n<p>You should know that ARP uses a premium grade 8740 alloy that is rated far superior to \""aircraft\"" quality. Then, each stud is precisely heat-treated to 220,000 psi. Following heat-treat, each stud is centerless ground to make it as close to perfectly concentric as possible. This procedure involves about ten very slight cuts and results in an exceptionally straight part. It's important to note that lesser quality studs are not even centerless ground”the material is thread rolled in bar stock form (mostly before heat-treat, when the material is easier to machine). ARP studs are thread rolled after heat-treat, which gives them about 1000% (that's ten times) better fatigue strength than those studs that are threaded prior to heat-treat. Because ARP studs are manufactured to such exacting tolerances, you will note that gaskets and cylinder heads literally glide into position and are perfectly aligned”something that won't happen with inferior quality head studs.</p>\n<b>ARP HEAD STUDS AND HEAD BOLTS</b>\n<p>What really is the difference between a head stud and a head bolt you may be wondering. From the factory, all engines have head bolts. As nearly anyone has seen, a œbolt is a threaded shaft with a hexagonal head attached. These bolts thread into the respective hole and the bolt head is then torqued down on the head(s) with a great deal of the force being applied to the thread themselves. In contrast, a œstud is only the threaded shaft that is first installed into the block. Once the stud is installed onto the block, then the head gasket and head are placed. Finally, the head stud washer and nut are placed and torqued. Due to the change in orientation of where the force is applied, a head stud will not stretch as a head bolt will commonly do, as well as the superior metals used to make ARP head studs compared to stock head bolts. </p>\n<b>SHOP ARP STUDS AND MORE FROM DPP! </b>\n<p>While most diesel performance enthusiast know ARP for their heads studs, they actually have a wide range of fasteners available that are far superior to their stock counterparts. From harmonic damper hardware to rod bolts, flexplate bolts, and so much more. With ARP, you can rest assured that youre installing the best hardware on the planet.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_arp.jpg?v=1748897591"", ""image_file"": ""gid://shopify/MediaImage/53058238546285"", ""collection"": ""gid://shopify/Collection/623875916141""}"
